User_ID,Asset_ID,Timestamp,Time_Spent,Engagement_Score,Satisfaction_Score,Nudge_Effectiveness,CTR,Conversion_Rate,Bounce_Rate,Retention_Rate,Recommendation_Success,Personalization_Effectiveness,Sentiment Label,Category,Trigger,dataset
3064,13,2023-08-11 16:39:54.583300,254.27898669835108,55,21,0.23514824607124768,0.08873583716433198,0.6823210709118603,0.8152236221977431,0.6927106890920022,0.6546358786855013,0.6926812256165115,Neutral,Engagement,New Assets Added,B
3130,132,2023-08-11 16:39:38.376210,135.6213981980768,16,22,0.21995863834674956,0.059395852631554,0.9887392323514737,0.9437683210975866,0.6366729207094584,0.163049314314615,0.4811213913906722,Negative,Engagement,Near Top Contributor,A
3202,195,2023-08-11 16:32:34.253654,261.38627163866886,20,55,0.5617233386172927,0.8915085699683463,0.12055368911400466,0.9771590779994183,0.5159137230690605,0.9964694251397647,0.3654927897192719,Positive,Engagement,"Used, Not Rated",A
3085,7,2023-08-11 16:34:15.516760,256.3216642335484,8,50,0.5467416599458411,0.7647960712402868,0.891099710723428,0.7779104681729586,0.1369163897938983,0.590647664640434,0.22236482886969833,Neutral,Feedback,"New Asset, No Feedback",B
3200,104,2023-08-11 16:30:00.222124,141.12186495316897,52,15,0.36097050217990817,0.9389684734865251,0.44348568929139753,0.5567419777364485,0.9601926673523381,0.05964685948673165,0.6863392540457801,Neutral,Engagement,Near Top Contributor,A
3262,112,2023-08-11 16:41:43.402212,64.96266669540785,80,86,1.1182198237003822,0.9252062254966954,0.36194108233757394,0.967629041300597,0.41862510844681766,0.8068559913845923,0.414914082962496,Negative,Feedback,"New Asset, No Feedback",A
3077,108,2023-08-11 16:44:19.433238,296.01958181771636,40,5,0.18242669661590916,0.7275325188366075,0.46083571773570764,0.16824915817449537,0.8474366189523418,0.553857632141877,0.564887558668618,Negative,Engagement,New Assets Added,A
3195,220,2023-08-11 16:36:46.546300,131.50647228266365,40,88,0.9393178379301743,0.5155508417845295,0.29242989585561097,0.0987153658354687,0.5084912729452105,0.8577687985337341,0.8840026718134476,Positive,Feedback,Used An Asset,B
3046,222,2023-08-11 16:35:23.529773,232.71811396485958,32,31,0.3100967147443611,0.06915525559849744,0.16569286582767406,0.3570015651530205,0.4152261246085378,0.04972037413761121,0.2957550102283478,Positive,Engagement,New Assets Added,B
3018,69,2023-08-11 16:32:33.496761,182.7991296636069,98,51,0.7435910197591382,0.6268099194787042,0.385273403475613,0.30723074305004594,0.46298287306295893,0.29662271731181267,0.6994742848586926,Positive,Engagement,"Used, Not Rated",B
