userId,activity,interaction_date,last_inactive_date
3000,Rating/Reviewing Content,01-01-2021,01-03-2021
3000,Rating/Reviewing Content,05-01-2021,05-06-2021
3000,Rating/Reviewing Content,13-01-2021,15-01-2021
3000,Rating/Reviewing Content,15-01-2021,16-01-2021
3000,Rating/Reviewing Content,16-01-2021,21-01-2021
3000,Rating/Reviewing Content,21-01-2021,30-01-2021
3000,Rating/Reviewing Content,30-01-2021,30-01-2021
3000,Rating/Reviewing Content,30-01-2021,02-06-2021
3000,Rating/Reviewing Content,04-02-2021,15-04-2021
3000,Rating/Reviewing Content,07-02-2021,07-03-2021
3000,Rating/Reviewing Content,13-02-2021,27-02-2021
3000,Rating/Reviewing Content,27-02-2021,28-02-2021
3000,Rating/Reviewing Content,28-02-2021,03-04-2021
3000,Rating/Reviewing Content,01-03-2021,01-05-2021
3000,Rating/Reviewing Content,07-03-2021,07-05-2021
3000,Rating/Reviewing Content,12-03-2021,12-03-2021
3000,Rating/Reviewing Content,12-03-2021,12-12-2021
3000,Rating/Reviewing Content,14-03-2021,16-03-2021
3000,Rating/Reviewing Content,16-03-2021,18-03-2021
3000,Rating/Reviewing Content,18-03-2021,18-03-2021
3000,Rating/Reviewing Content,18-03-2021,19-03-2021
3000,Rating/Reviewing Content,19-03-2021,25-03-2021
3000,Rating/Reviewing Content,25-03-2021,27-03-2021
3000,Rating/Reviewing Content,27-03-2021,04-02-2021
3000,Rating/Reviewing Content,03-04-2021,14-03-2021
3000,Rating/Reviewing Content,08-04-2021,08-10-2021
3000,Rating/Reviewing Content,10-04-2021,10-07-2021
3000,Rating/Reviewing Content,15-04-2021,15-04-2021
3000,Rating/Reviewing Content,15-04-2021,17-04-2021
3000,Rating/Reviewing Content,17-04-2021,22-04-2021
3000,Sharing Content,21-04-2021,05-05-2023
3000,Rating/Reviewing Content,22-04-2021,25-04-2021
3000,Rating/Reviewing Content,25-04-2021,30-04-2021
3000,Rating/Reviewing Content,30-04-2021,05-01-2021
3000,Rating/Reviewing Content,01-05-2021,01-06-2021
3000,Rating/Reviewing Content,07-05-2021,07-08-2021
3000,Rating/Reviewing Content,11-05-2021,11-08-2021
3000,Rating/Reviewing Content,16-05-2021,18-05-2021
3000,Rating/Reviewing Content,18-05-2021,21-05-2021
3000,Rating/Reviewing Content,21-05-2021,23-05-2021
3000,Rating/Reviewing Content,23-05-2021,26-05-2021
3000,Rating/Reviewing Content,26-05-2021,28-05-2021
3000,Rating/Reviewing Content,28-05-2021,29-05-2021
3000,Rating/Reviewing Content,29-05-2021,06-10-2021
3000,Rating/Reviewing Content,01-06-2021,13-01-2021
3000,Rating/Reviewing Content,02-06-2021,13-02-2021
3000,Rating/Reviewing Content,05-06-2021,05-12-2021
3000,Rating/Reviewing Content,15-06-2021,15-06-2021
3000,Rating/Reviewing Content,15-06-2021,19-06-2021
3000,Rating/Reviewing Content,19-06-2021,24-06-2021
3000,Rating/Reviewing Content,24-06-2021,24-06-2021
3000,Rating/Reviewing Content,24-06-2021,07-02-2021
3000,Rating/Reviewing Content,10-07-2021,10-08-2021
3000,Rating/Reviewing Content,13-07-2021,15-07-2021
3000,Rating/Reviewing Content,15-07-2021,17-07-2021
3000,Rating/Reviewing Content,17-07-2021,29-07-2021
3000,Rating/Reviewing Content,29-07-2021,31-07-2021
3000,Rating/Reviewing Content,31-07-2021,08-04-2021
3000,Rating/Reviewing Content,07-08-2021,13-07-2021
3000,Rating/Reviewing Content,09-08-2021,09-09-2021
3000,Rating/Reviewing Content,10-08-2021,10-10-2021
3000,Rating/Reviewing Content,11-08-2021,11-09-2021
3000,Rating/Reviewing Content,14-08-2021,15-08-2021
3000,Rating/Reviewing Content,15-08-2021,17-08-2021
3000,Rating/Reviewing Content,17-08-2021,20-08-2021
3000,Rating/Reviewing Content,20-08-2021,21-08-2021
3000,Rating/Reviewing Content,21-08-2021,23-08-2021
3000,Rating/Reviewing Content,23-08-2021,24-08-2021
3000,Rating/Reviewing Content,24-08-2021,26-08-2021
3000,Rating/Reviewing Content,26-08-2021,26-08-2021
3000,Rating/Reviewing Content,26-08-2021,30-08-2021
3000,Rating/Reviewing Content,30-08-2021,09-08-2021
